LA_Name,Population,DepositsBanks,DepositsBanks_PopWeighted,MoneyMarketFunds,MoneyMarketFunds_PopWeighted,OtherInvestments,OtherInvestments_PopWeighted,Class,ONS_Code
Hartlepool,93242.00,14986.00,160.72,0.00,0.00,11443.00,122.72,Unitary Authority,E06000001
Middlesbrough,140545.00,20233.00,143.96,0.00,0.00,5000.00,35.58,Unitary Authority,E06000002
Redcar & Cleveland,136718.00,4840.00,35.40,24000.00,175.54,0.00,0.00,Unitary Authority,E06000003
Stockton-on-Tees,197213.00,450.00,2.28,56282.00,285.39,0.00,0.00,Unitary Authority,E06000004
Darlington,106566.00,12000.00,112.61,46999.00,441.03,4000.00,37.54,Unitary Authority,E06000005
Halton,128432.00,81073.00,631.25,0.00,0.00,0.00,0.00,Unitary Authority,E06000006
Warrington,209547.00,35460.00,169.22,60026.00,286.46,1880.00,8.97,Unitary Authority,E06000007
Blackburn with Darwen,148942.00,5998.00,40.27,15300.00,102.72,0.00,0.00,Unitary Authority,E06000008
Blackpool,139305.00,14800.00,106.24,0.00,0.00,0.00,0.00,Unitary Authority,E06000009
Kingston upon Hull,260645.00,235.00,0.90,39500.00,151.55,0.00,0.00,Unitary Authority,E06000010
East Riding of Yorkshire,339614.00,98600.00,290.33,38810.00,114.28,0.00,0.00,Unitary Authority,E06000011
North East Lincolnshire,159821.00,2986.00,18.68,8800.00,55.06,1505.00,9.42,Unitary Authority,E06000012
North Lincolnshire,172005.00,6555.00,38.11,6000.00,34.88,0.00,0.00,Unitary Authority,E06000013
York,209893.00,15411.00,73.42,29550.00,140.79,0.00,0.00,Unitary Authority,E06000014
Derby,257174.00,10594.00,41.19,40970.00,159.31,0.00,0.00,Unitary Authority,E06000015
Leicester,355218.00,0.00,0.00,92000.00,259.00,0.00,0.00,Unitary Authority,E06000016
Rutland,39697.00,23285.00,586.57,0.00,0.00,0.00,0.00,Unitary Authority,E06000017
Nottingham,331069.00,42853.00,129.44,68000.00,205.40,71259.00,215.24,Unitary Authority,E06000018
Herefordshire,192107.00,29040.00,151.17,53700.00,279.53,0.00,0.00,Unitary Authority,E06000019
Telford & Wrekin,177799.00,2706.00,15.22,4980.00,28.01,16300.00,91.68,Unitary Authority,E06000020
Stoke-on-Trent,255833.00,4360.00,17.04,32100.00,125.47,0.00,0.00,Unitary Authority,E06000021
Bath & North East Somerset,192106.00,13200.00,68.71,44900.00,233.73,0.00,0.00,Unitary Authority,E06000022
Bristol,463405.00,58849.00,126.99,81918.00,176.77,0.00,0.00,Unitary Authority,E06000023
North Somerset,213919.00,29000.00,135.57,18500.00,86.48,0.00,0.00,Unitary Authority,E06000024
South Gloucestershire,282644.00,43798.00,154.96,53261.00,188.44,0.00,0.00,Unitary Authority,E06000025
Plymouth,263100.00,5030.00,19.12,80025.00,304.16,0.00,0.00,Unitary Authority,E06000026
Torbay,135780.00,32520.00,239.51,27200.00,200.32,0.00,0.00,Unitary Authority,E06000027
Swindon,221996.00,10000.00,45.05,35571.00,160.23,5000.00,22.52,Unitary Authority,E06000030
Peterborough,201041.00,12345.00,61.41,10000.00,49.74,0.00,0.00,Unitary Authority,E06000031
Luton,214109.00,0.00,0.00,48385.00,225.98,0.00,0.00,Unitary Authority,E06000032
Southend-on-Sea,182463.00,54293.00,297.56,61011.00,334.37,4200.00,23.02,Unitary Authority,E06000033
Thurrock,172525.00,20000.00,115.93,0.00,0.00,0.00,0.00,Unitary Authority,E06000034
Bracknell Forest,121676.00,0.00,0.00,32736.00,269.04,0.00,0.00,Unitary Authority,E06000036
West Berkshire,158527.00,12433.00,78.43,5001.00,31.55,0.00,0.00,Unitary Authority,E06000037
Reading,163203.00,21593.00,132.31,71163.00,436.04,29500.00,180.76,Unitary Authority,E06000038
Slough,149112.00,4000.00,26.83,28000.00,187.78,0.00,0.00,Unitary Authority,E06000039
Windsor & Maidenhead,150906.00,744.00,4.93,2500.00,16.57,6057.00,40.14,Unitary Authority,E06000040
Wokingham,167979.00,23696.00,141.07,30000.00,178.59,0.00,0.00,Unitary Authority,E06000041
Milton Keynes,268607.00,17356.00,64.61,76559.00,285.02,0.00,0.00,Unitary Authority,E06000042
Brighton & Hove,290395.00,75328.00,259.40,69106.00,237.97,10000.00,34.44,Unitary Authority,E06000043
Portsmouth,215133.00,47739.00,221.90,17050.00,79.25,66410.00,308.69,Unitary Authority,E06000044
Southampton,252796.00,5706.00,22.57,75564.00,298.91,1000.00,3.96,Unitary Authority,E06000045
Isle of Wight,141538.00,11000.00,77.72,37400.00,264.24,0.00,0.00,Unitary Authority,E06000046
Durham,526980.00,206154.00,391.20,32632.00,61.92,0.00,0.00,Unitary Authority,E06000047
Cheshire East,380790.00,1082.00,2.84,22650.00,59.48,3972.00,10.43,Unitary Authority,E06000049
Cheshire West & Chester,340502.00,12565.00,36.90,112553.00,330.55,0.00,0.00,Unitary Authority,E06000050
Shropshire,320274.00,94791.00,295.97,15000.00,46.83,0.00,0.00,Unitary Authority,E06000051
Cornwall,565968.00,99959.00,176.62,4902.00,8.66,0.00,0.00,Unitary Authority,E06000052
Wiltshire,498064.00,34980.00,70.23,68731.00,138.00,70027.00,140.60,Unitary Authority,E06000054
Bedford,171623.00,336.00,1.96,33387.00,194.54,0.00,0.00,Unitary Authority,E06000055
Central Bedfordshire,283606.00,5145.00,18.14,5000.00,17.63,0.00,0.00,Unitary Authority,E06000056
Northumberland,320274.00,54618.00,170.54,118900.00,371.24,9534.00,29.77,Unitary Authority,E06000057
"Bournemouth, Christchurch & Poole",395784.00,107965.00,272.79,13010.00,32.87,30500.00,77.06,Unitary Authority,E06000058
Dorset UA,422900.00,2081.00,4.92,118600.00,280.44,81000.00,191.53,Unitary Authority,E06000059
Buckinghamshire UA,540059.00,0.00,0.00,91230.00,168.93,0.00,0.00,Unitary Authority,E06000060
Cambridge,125758.00,17843.00,141.88,53000.00,421.44,2200.00,17.49,District council,E07000008
East Cambridgeshire,89362.00,2986.00,33.41,29000.00,324.52,0.00,0.00,District council,E07000009
Fenland,101491.00,18911.00,186.33,0.00,0.00,0.00,0.00,District council,E07000010
Huntingdonshire,177352.00,21667.00,122.17,31500.00,177.61,7283.00,41.07,District council,E07000011
South Cambridgeshire,157519.00,19825.00,125.86,2000.00,12.70,7400.00,46.98,District council,E07000012
Allerdale,97527.00,9869.00,101.19,18720.00,191.95,918.00,9.41,District council,E07000026
Barrow-in-Furness,67137.00,11761.00,175.18,0.00,0.00,0.00,0.00,District council,E07000027
Carlisle,108387.00,25000.00,230.65,3402.00,31.39,0.00,0.00,District council,E07000028
Copeland,68424.00,14970.00,218.78,32192.00,470.48,0.00,0.00,District council,E07000029
Eden,52881.00,1996.00,37.75,18667.00,353.00,3377.00,63.86,District council,E07000030
South Lakeland,104532.00,38.00,0.36,9000.00,86.10,20000.00,191.33,District council,E07000031
Amber Valley,126678.00,16996.00,134.17,19650.00,155.12,0.00,0.00,District council,E07000032
Bolsover,79530.00,26500.00,333.21,0.00,0.00,0.00,0.00,District council,E07000033
Chesterfield,104628.00,0.00,0.00,11480.00,109.72,0.00,0.00,District council,E07000034
Derbyshire Dales,71977.00,4862.00,67.55,25000.00,347.33,0.00,0.00,District council,E07000035
Erewash,115490.00,2584.00,22.37,0.00,0.00,0.00,0.00,District council,E07000036
High Peak,92221.00,25903.00,280.88,8500.00,92.17,0.00,0.00,District council,E07000037
North East Derbyshire,101125.00,2770.00,27.39,30041.00,297.07,0.00,0.00,District council,E07000038
South Derbyshire,104493.00,3118.00,29.84,18000.00,172.26,0.00,0.00,District council,E07000039
East Devon,144317.00,4195.00,29.07,37045.00,256.69,2331.00,16.15,District council,E07000040
Exeter,130428.00,19620.00,150.43,36680.00,281.23,8926.00,68.44,District council,E07000041
Mid Devon,81695.00,19433.00,237.87,5000.00,61.20,0.00,0.00,District council,E07000042
North Devon,96110.00,39950.00,415.67,0.00,0.00,0.00,0.00,District council,E07000043
South Hams,86221.00,12445.00,144.34,27000.00,313.15,0.00,0.00,District council,E07000044
Teignbridge,132844.00,5394.00,40.60,6000.00,45.17,267.00,2.01,District council,E07000045
Torridge,68143.00,23000.00,337.53,0.00,0.00,0.00,0.00,District council,E07000046
West Devon,55528.00,3401.00,61.25,10550.00,189.99,0.00,0.00,District council,E07000047
Eastbourne,103160.00,4408.00,42.73,0.00,0.00,0.00,0.00,District council,E07000061
Hastings,92855.00,9058.00,97.55,5000.00,53.85,16810.00,181.03,District council,E07000062
Lewes,102744.00,8505.00,82.78,1.00,0.01,0.00,0.00,District council,E07000063
Rother,95656.00,36223.00,378.68,8000.00,83.63,0.00,0.00,District council,E07000064
Wealden,160175.00,5974.00,37.30,50000.00,312.16,0.00,0.00,District council,E07000065
Basildon,185862.00,11000.00,59.18,29000.00,156.03,0.00,0.00,District council,E07000066
Braintree,151561.00,1933.00,12.75,38000.00,250.72,0.00,0.00,District council,E07000067
Brentwood,76550.00,25000.00,326.58,0.00,0.00,0.00,0.00,District council,E07000068
Castle Point,90070.00,2033.00,22.57,25800.00,286.44,0.00,0.00,District council,E07000069
Chelmsford,177079.00,8664.00,48.93,46131.00,260.51,3000.00,16.94,District council,E07000070
Colchester,192523.00,33000.00,171.41,30000.00,155.83,0.00,0.00,District council,E07000071
Epping Forest,131137.00,5552.00,42.34,13600.00,103.71,40650.00,309.98,District council,E07000072
Harlow,86594.00,1899.00,21.93,12980.00,149.89,0.00,0.00,District council,E07000073
Maldon,64425.00,3220.00,49.98,15000.00,232.83,0.00,0.00,District council,E07000074
Rochford,86981.00,11000.00,126.46,7000.00,80.48,0.00,0.00,District council,E07000075
Tendring,145803.00,3798.00,26.05,7800.00,53.50,0.00,0.00,District council,E07000076
Uttlesford,89179.00,676.00,7.58,3700.00,41.49,0.00,0.00,District council,E07000077
Cheltenham,117090.00,4111.00,35.11,6537.00,55.83,2961.00,25.29,District council,E07000078
Cotswold,89022.00,6089.00,68.40,18725.00,210.34,0.00,0.00,District council,E07000079
Forest of Dean,86543.00,8000.00,92.44,10156.00,117.35,0.00,0.00,District council,E07000080
Gloucester,129285.00,0.00,0.00,26462.00,204.68,0.00,0.00,District council,E07000081
Stroud,119019.00,37272.00,313.16,6000.00,50.41,0.00,0.00,District council,E07000082
Tewkesbury,92599.00,4000.00,43.20,13966.00,150.82,7500.00,80.99,District council,E07000083
Basingstoke & Deane,175729.00,4474.00,25.46,123500.00,702.79,0.00,0.00,District council,E07000084
East Hampshire,120681.00,39554.00,327.76,0.00,0.00,0.00,0.00,District council,E07000085
Eastleigh,131819.00,2863.00,21.72,5000.00,37.93,24500.00,185.86,District council,E07000086
Fareham,116339.00,4000.00,34.38,18000.00,154.72,0.00,0.00,District council,E07000087
Gosport,85283.00,3000.00,35.18,12000.00,140.71,0.00,0.00,District council,E07000088
Hart,96293.00,15295.00,158.84,8900.00,92.43,4145.00,43.05,District council,E07000089
Havant,125813.00,61539.00,489.13,0.00,0.00,0.00,0.00,District council,E07000090
New Forest,179753.00,9798.00,54.51,23198.00,129.05,27750.00,154.38,District council,E07000091
Rushmoor,95142.00,0.00,0.00,41341.00,434.52,0.00,0.00,District council,E07000092
Test Valley,125169.00,46190.00,369.02,0.00,0.00,0.00,0.00,District council,E07000093
Winchester,124295.00,5292.00,42.58,24242.00,195.04,5235.00,42.12,District council,E07000094
Broxbourne,96876.00,18000.00,185.80,15000.00,154.84,0.00,0.00,District council,E07000095
Dacorum,154280.00,63053.00,408.69,9000.00,58.34,0.00,0.00,District council,E07000096
Hertsmere,104205.00,17170.00,164.77,14150.00,135.79,4000.00,38.39,District council,E07000098
North Hertfordshire,133214.00,10000.00,75.07,3000.00,22.52,0.00,0.00,District council,E07000099
Three Rivers,93045.00,7789.00,83.71,2353.00,25.29,13640.00,146.60,District council,E07000102
Watford,96767.00,8887.00,91.84,92848.00,959.50,26767.00,276.61,District council,E07000103
Ashford,129281.00,0.00,0.00,41171.00,318.46,0.00,0.00,District council,E07000105
Canterbury,164553.00,157.00,0.95,4274.00,25.97,0.00,0.00,District council,E07000106
Dartford,109709.00,42.00,0.38,50013.00,455.87,0.00,0.00,District council,E07000107
Dover,116969.00,6487.00,55.46,2354.00,20.12,0.00,0.00,District council,E07000108
Gravesham,106385.00,11100.00,104.34,17264.00,162.28,0.00,0.00,District council,E07000109
Maidstone,169955.00,20000.00,117.68,25190.00,148.22,0.00,0.00,District council,E07000110
Sevenoaks,120293.00,8400.00,69.83,11200.00,93.11,50.00,0.42,District council,E07000111
Swale,148519.00,134.00,0.90,27000.00,181.79,0.00,0.00,District council,E07000113
Thanet,141819.00,4894.00,34.51,49257.00,347.32,274.00,1.93,District council,E07000114
Tonbridge & Malling,130508.00,23050.00,176.62,26673.00,204.38,2000.00,15.32,District council,E07000115
Tunbridge Wells,118054.00,10000.00,84.71,0.00,0.00,9000.00,76.24,District council,E07000116
Burnley,88527.00,29195.00,329.79,2000.00,22.59,0.00,0.00,District council,E07000117
Chorley,116821.00,6110.00,52.30,0.00,0.00,0.00,0.00,District council,E07000118
Fylde,79770.00,998.00,12.51,6000.00,75.22,0.00,0.00,District council,E07000119
Hyndburn,80815.00,0.00,0.00,0.00,0.00,0.00,0.00,District council,E07000120
Lancaster,144246.00,0.00,0.00,27000.00,187.18,0.00,0.00,District council,E07000121
Pendle,91405.00,2500.00,27.35,0.00,0.00,0.00,0.00,District council,E07000122
Preston,141818.00,9195.00,64.84,41758.00,294.45,0.00,0.00,District council,E07000123
Ribble Valley,60057.00,3700.00,61.61,10.00,0.17,0.00,0.00,District council,E07000124
Rossendale,70895.00,13000.00,183.37,0.00,0.00,0.00,0.00,District council,E07000125
South Ribble,110527.00,37939.00,343.26,0.00,0.00,0.00,0.00,District council,E07000126
West Lancashire,113949.00,21647.00,189.97,0.00,0.00,1575.00,13.82,District council,E07000127
Wyre,111223.00,19756.00,177.63,18000.00,161.84,8000.00,71.93,District council,E07000128
Blaby,100421.00,14444.00,143.83,16998.00,169.27,0.00,0.00,District council,E07000129
Charnwood,182643.00,32067.00,175.57,17160.00,93.95,0.00,0.00,District council,E07000130
Harborough,92499.00,12640.00,136.65,5910.00,63.89,3982.00,43.05,District council,E07000131
Hinckley & Bosworth,112423.00,1415.00,12.59,0.00,0.00,0.00,0.00,District council,E07000132
Melton,51100.00,10500.00,205.48,2390.00,46.77,12000.00,234.83,District council,E07000133
North West Leicestershire,102126.00,10835.00,106.09,18000.00,176.25,0.00,0.00,District council,E07000134
Oadby & Wigston,57056.00,6831.00,119.72,0.00,0.00,0.00,0.00,District council,E07000135
Boston,69366.00,25085.00,361.63,23989.00,345.83,0.00,0.00,District council,E07000136
East Lindsey,140741.00,24649.00,175.14,35499.00,252.23,15000.00,106.58,District council,E07000137
Lincoln,99039.00,24717.00,249.57,22383.00,226.00,0.00,0.00,District council,E07000138
North Kesteven,115985.00,14739.00,127.08,5000.00,43.11,12741.00,109.85,District council,E07000139
South Holland,93980.00,29383.00,312.65,4650.00,49.48,5000.00,53.20,District council,E07000140
South Kesteven,141853.00,53281.00,375.61,18000.00,126.89,0.00,0.00,District council,E07000141
West Lindsey,94869.00,10103.00,106.49,10500.00,110.68,0.00,0.00,District council,E07000142
Breckland,139329.00,26081.00,187.19,0.00,0.00,0.00,0.00,District council,E07000143
Broadland,129464.00,30540.00,235.90,10000.00,77.24,5000.00,38.62,District council,E07000144
Great Yarmouth,99370.00,1420.00,14.29,16820.00,169.27,0.00,0.00,District council,E07000145
King's Lynn & West Norfolk,151811.00,12000.00,79.05,19450.00,128.12,0.00,0.00,District council,E07000146
North Norfolk,104552.00,0.00,0.00,38673.00,369.89,2558.00,24.47,District council,E07000147
Norwich,141137.00,57160.00,405.00,25000.00,177.13,21157.00,149.90,District council,E07000148
South Norfolk,138017.00,18000.00,130.42,21000.00,152.16,6493.00,47.04,District council,E07000149
Craven,56832.00,3786.00,66.62,7000.00,123.17,0.00,0.00,District council,E07000163
Hambleton,91134.00,7425.00,81.47,12620.00,138.48,0.00,0.00,District council,E07000164
Harrogate,160533.00,54700.00,340.74,5236.00,32.62,0.00,0.00,District council,E07000165
Richmondshire,53244.00,30140.00,566.07,0.00,0.00,0.00,0.00,District council,E07000166
Ryedale,54920.00,22474.00,409.21,0.00,0.00,0.00,0.00,District council,E07000167
Scarborough,108736.00,11000.00,101.16,0.00,0.00,0.00,0.00,District council,E07000168
